trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
122,False,"{'a': 0.5, 'e': 0.29342272152521587}",20,0,20.53317953963987,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
123,False,"{'a': 0.5, 'e': 0.2904884943099637}",20,0,1.6461610803689712,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
124,False,"{'a': 0.5, 'e': 0.28758360936686406}",20,7,20.334284648080157,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.5, 'e': 0.2847077732731954}",25,11,-5.639690939878187,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 0}",1
126,False,"{'a': 0.5, 'e': 0.28186069554046345}",30,13,-38.84758035813456,"{0: 13, 1: 2, 2: 1, 3: 0, 4: 1}",1
127,False,"{'a': 0.5, 'e': 0.2790420885850588}",25,0,-5.118440010958603,"{0: 23, 1: 0, 2: 0, 3: 2, 4: 0}",0
128,False,"{'a': 0.5, 'e': 0.2762516676992082}",20,13,13.243954150344221,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.5, 'e': 0.27348915102221616}",20,0,1.8426653893189195,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
130,False,"{'a': 0.5, 'e': 0.270754259511994}",25,15,-21.705411422001788,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 1}",1
131,False,"{'a': 0.5, 'e': 0.26804671691687404}",20,12,4.1129144170898195,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
132,False,"{'a': 0.5, 'e': 0.2653662497477053}",25,2,-6.675713009167683,"{0: 20, 1: 1, 2: 1, 3: 1, 4: 0}",1
133,False,"{'a': 0.5, 'e': 0.2627125872502282}",20,8,-13.937546979669223,"{0: 9, 1: 0, 2: 3, 3: 0, 4: 0}",1
134,False,"{'a': 0.5, 'e': 0.2600854613777259}",20,0,4.315969512047688,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
135,False,"{'a': 0.5, 'e': 0.2574846067639487}",30,12,-30.212802946253653,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 1}",1
136,False,"{'a': 0.5, 'e': 0.2549097606963092}",20,4,-57.52381115425983,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 2}",1
137,False,"{'a': 0.5, 'e': 0.2523606630893461}",25,4,-11.34006526177223,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 1}",1
138,False,"{'a': 0.5, 'e': 0.24983705645845267}",25,0,11.938177272550364,"{0: 22, 1: 2, 2: 1, 3: 0, 4: 0}",0
139,False,"{'a': 0.5, 'e': 0.24733868589386815}",20,0,-1.0515279909439816,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
140,False,"{'a': 0.5, 'e': 0.24486529903492946}",20,10,4.506878958413876,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
141,False,"{'a': 0.5, 'e': 0.24241664604458016}",20,13,-29.766202366302394,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
142,False,"{'a': 0.5, 'e': 0.23999247958413436}",30,8,26.576125733833173,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
143,False,"{'a': 0.5, 'e': 0.23759255478829303}",25,15,0.9869383098762476,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 0}",1
144,False,"{'a': 0.5, 'e': 0.2352166292404101}",20,0,30.03577233673926,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
145,False,"{'a': 0.5, 'e': 0.232864462948006}",30,0,-55.82485300620429,"{0: 25, 1: 0, 2: 3, 3: 1, 4: 1}",0
146,False,"{'a': 0.5, 'e': 0.23053581831852593}",30,15,10.589756541049425,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
147,False,"{'a': 0.5, 'e': 0.22823046013534068}",25,17,14.087690216769591,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.5, 'e': 0.22594815553398728}",20,16,9.713078066644655,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.5, 'e': 0.22368867397864742}",25,11,-29.759104442744764,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
150,False,"{'a': 0.5, 'e': 0.22145178723886094}",25,18,11.733573979434235,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.5, 'e': 0.21923726936647234}",30,0,23.536083995909507,"{0: 28, 1: 0, 2: 1, 3: 1, 4: 0}",0
152,False,"{'a': 0.5, 'e': 0.2170448966728076}",30,23,11.046497123294033,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.5, 'e': 0.21487444770607952}",25,15,20.29701761597673,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
154,False,"{'a': 0.5, 'e': 0.21272570322901874}",20,0,3.616972287044539,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
155,False,"{'a': 0.5, 'e': 0.21059844619672854}",20,14,10.584281066069318,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.5, 'e': 0.20849246173476127}",25,11,-36.60708954243967,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
157,False,"{'a': 0.5, 'e': 0.20640753711741366}",30,16,14.185323298797961,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
158,False,"{'a': 0.5, 'e': 0.20434346174623952}",25,0,10.91841491350212,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
159,False,"{'a': 0.5, 'e': 0.20230002712877712}",20,12,14.349796081227957,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.5, 'e': 0.20027702685748935}",20,0,-58.38061756010319,"{0: 17, 1: 0, 2: 0, 3: 2, 4: 1}",0
161,False,"{'a': 0.5, 'e': 0.19827425658891445}",25,9,13.401377250548556,"{0: 14, 1: 2, 2: 0, 3: 0, 4: 0}",1
